table_id;table_label;ancienniteit;noemer24_jaar;noemer24_maand;noemer22_jaar;noemer22_maand;noemer36_jaar;noemer36_maand
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;0;2172,72;217,27;2370,24;237,02;1448,48;144,85
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;1;2241,72;224,17;2445,52;244,55;1494,48;149,45
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;2;2289,07;228,91;2497,17;249,72;1526,05;152,60
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;3;2358,07;235,81;2572,44;257,24;1572,05;157,20
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;4;2358,07;235,81;2572,44;257,24;1572,05;157,20
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;5;2471,24;247,12;2695,90;269,59;1647,49;164,75
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;6;2471,24;247,12;2695,90;269,59;1647,49;164,75
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;7;2584,41;258,44;2819,35;281,94;1722,94;172,29
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;8;2584,41;258,44;2819,35;281,94;1722,94;172,29
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;9;2697,57;269,76;2942,81;294,28;1798,38;179,84
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;10;2697,57;269,76;2942,81;294,28;1798,38;179,84
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;11;2810,74;281,07;3066,26;306,63;1873,83;187,38
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;12;2810,74;281,07;3066,26;306,63;1873,83;187,38
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;13;2923,91;292,39;3189,72;318,97;1949,27;194,93
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;14;2923,91;292,39;3189,72;318,97;1949,27;194,93
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;15;3037,08;303,71;3313,17;331,32;2024,72;202,47
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;16;3037,08;303,71;3313,17;331,32;2024,72;202,47
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;17;3150,24;315,02;3436,63;343,66;2100,16;210,02
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;18;3150,24;315,02;3436,63;343,66;2100,16;210,02
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;19;3263,41;326,34;3560,08;356,01;2175,61;217,56
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;20;3263,41;326,34;3560,08;356,01;2175,61;217,56
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;21;3376,58;337,66;3683,54;368,35;2251,05;225,11
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;22;3376,58;337,66;3683,54;368,35;2251,05;225,11
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;23;3489,74;348,97;3806,99;380,70;2326,50;232,65
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;24;3489,74;348,97;3806,99;380,70;2326,50;232,65
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;25;3602,91;360,29;3930,45;393,04;2401,94;240,19
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;26;3602,91;360,29;3930,45;393,04;2401,94;240,19
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;27;3716,08;371,61;4053,90;405,39;2477,39;247,74
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;28;3716,08;371,61;4053,90;405,39;2477,39;247,74
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;29;3716,08;371,61;4053,90;405,39;2477,39;247,74
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;30;3716,08;371,61;4053,90;405,39;2477,39;247,74
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;31;3716,08;371,61;4053,90;405,39;2477,39;247,74
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;32;3716,08;371,61;4053,90;405,39;2477,39;247,74
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;33;3716,08;371,61;4053,90;405,39;2477,39;247,74
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;34;3716,08;371,61;4053,90;405,39;2477,39;247,74
tijdelijk-standplaats;Tijdelijk personeel met standplaatstoelage;35;3716,08;371,61;4053,90;405,39;2477,39;247,74
